Номер Животного,Пол,Номер лактации,Результат отела,Легкость отела,Дата рождения,Дней в сухостое предыдущей лактации,Дней стельности при событии,Номер группы животного,Предыдущий номер группы животного,Событие,Дни доения при событии,Дата события,Примечание события
321,1,6,FA,3,2009-09-11,62,291,3,6,ПЕРЕВОД,216,2019-03-18,F006T003
321,1,6,FA,3,2009-09-11,62,291,12,4,ПЕРЕВОД,231,2019-04-02,F004T012
321,1,6,FA,3,2009-09-11,62,291,12,4,ПЕРЕВОД,252,2019-04-23,F004T012
675,1,7,FD,1,2009-11-02,60,0,7,10,ПЕРЕВОД,191,2019-04-02,F010T007
784,1,7,MA,1,2010-04-27,60,279,18,17,ПЕРЕВОД,430,2019-03-06,F017T018
784,1,8,MD,1,2010-04-27,62,0,21,44,ПЕРЕВОД,16,2019-04-19,F044T021
784,1,8,MD,1,2010-04-27,62,0,2,21,ПЕРЕВОД,16,2019-04-19,F021T002
871,1,6,FA,3,2010-03-02,60,287,12,6,ПЕРЕВОД,212,2019-04-09,F006T012
871,1,6,FA,3,2010-03-02,60,287,12,4,ПЕРЕВОД,226,2019-04-23,F004T012
1540,1,6,FA,1,2010-07-18,56,0,3,11,ПЕРЕВОД,173,2019-04-03,F011T003
1540,1,6,FA,1,2010-07-18,56,0,43,3,ПЕРЕВОД,173,2019-04-03,F003T043
1867,1,6,MA,1,2011-03-11,64,283,18,17,ПЕРЕВОД,361,2019-03-11,F017T018
1867,1,7,FA,1,2011-03-11,66,285,21,44,ПЕРЕВОД,1,2019-04-15,F044T021
1867,1,7,FA,1,2011-03-11,66,285,44,21,ПЕРЕВОД,2,2019-04-16,F021T044
1867,1,7,FA,1,2011-03-11,66,285,21,44,ПЕРЕВОД,8,2019-04-22,F044T021
1935,1,6,MA,3,2010-09-17,66,283,4,11,ПЕРЕВОД,268,2019-03-25,F011T004
1978,1,6,FA,1,2010-11-12,58,0,13,10,ПЕРЕВОД,214,2019-03-07,F010T013
2215,1,5,MA,1,2010-03-27,70,281,3,4,ПЕРЕВОД,432,2019-04-15,F004T003
2374,1,5,FA,1,2010-11-28,139,0,12,5,ПЕРЕВОД,434,2019-03-19,F005T012
2389,1,6,FA,1,2010-03-30,59,0,3,4,ПЕРЕВОД,295,2019-03-13,F004T003
2389,1,6,FA,1,2010-03-30,59,0,3,13,ПЕРЕВОД,331,2019-04-18,F013T003
2389,1,6,FA,1,2010-03-30,59,0,43,3,ПЕРЕВОД,335,2019-04-22,F003T043
2389,1,6,FA,1,2010-03-30,59,0,7,43,ПЕРЕВОД,336,2019-04-23,F043T007
2580,1,7,FA,1,2010-10-03,55,0,11,10,ПЕРЕВОД,178,2019-03-15,F010T011
2580,1,7,FA,1,2010-10-03,55,0,5,11,ПЕРЕВОД,212,2019-04-18,F011T005
2591,1,6,MA,1,2010-08-29,58,268,18,17,ПЕРЕВОД,500,2019-04-15,F017T018
2745,1,7,MA,1,2010-08-01,58,0,21,44,ПЕРЕВОД,2,2019-03-11,F044T021
2745,1,7,MA,1,2010-08-01,58,0,2,21,ПЕРЕВОД,10,2019-03-19,F021T002
4374,1,6,FA,1,2010-06-23,63,279,4,7,ПЕРЕВОД,278,2019-03-25,F007T004
4392,1,7,FA,1,2010-11-12,34,0,5,10,ПЕРЕВОД,165,2019-04-18,F010T005
4392,1,7,FA,1,2010-11-12,34,0,12,5,ПЕРЕВОД,170,2019-04-23,F005T012
5094,1,7,FA,2,2010-08-13,59,0,43,2,ПЕРЕВОД,38,2019-03-27,F002T043
5206,1,6,MA,1,2011-01-07,62,0,3,5,ПЕРЕВОД,253,2019-03-06,F005T003
22858,1,6,MA,1,2009-10-28,63,262,7,5,ПЕРЕВОД,240,2019-03-15,F005T007
22858,1,6,MA,1,2009-10-28,63,262,5,7,ПЕРЕВОД,266,2019-04-10,F007T005
87492,1,7,FA,1,2010-06-14,53,264,6,10,ПЕРЕВОД,223,2019-03-11,F010T006
87492,1,7,FA,1,2010-06-14,53,264,3,6,ПЕРЕВОД,225,2019-03-13,F006T003
201044,1,5,MA,1,2012-01-11,66,281,18,17,ПЕРЕВОД,322,2019-04-22,F017T018
201092,1,4,MA,1,2012-01-22,56,272,6,7,ПЕРЕВОД,496,2019-04-16,F007T006
201092,1,4,MA,1,2012-01-22,56,272,12,6,ПЕРЕВОД,503,2019-04-23,F006T012
202053,1,6,FA,1,2012-02-21,53,0,23,13,ПЕРЕВОД,70,2019-04-08,F013T023
205023,1,5,MA,1,2012-05-11,64,194,13,11,ПЕРЕВОД,233,2019-03-09,F011T013
208094,1,5,MA,1,2012-08-20,63,44,2,21,ПЕРЕВОД,8,2019-03-08,F021T002
208134,1,4,MA,1,2012-08-25,62,277,6,11,ПЕРЕВОД,314,2019-04-15,F011T006
208134,1,4,MA,1,2012-08-25,62,277,7,6,ПЕРЕВОД,321,2019-04-22,F006T007
209024,1,5,FA,1,2012-09-03,52,283,21,44,ПЕРЕВОД,1,2019-03-25,F044T021
209024,1,5,FA,1,2012-09-03,52,283,2,21,ПЕРЕВОД,8,2019-04-01,F021T002
209073,1,4,FA,1,2012-09-07,62,284,12,10,ПЕРЕВОД,121,2019-03-28,F010T012
209078,1,4,MA,1,2012-09-07,58,223,13,3,ПЕРЕВОД,285,2019-03-13,F003T013
209078,1,4,MA,1,2012-09-07,58,223,7,4,ПЕРЕВОД,292,2019-03-20,F004T007
209078,1,5,MD,1,2012-09-07,5,206,21,44,ПЕРЕВОД,1,2019-03-27,F044T021
209078,1,5,MD,1,2012-09-07,5,206,2,21,ПЕРЕВОД,9,2019-04-04,F021T002
209078,1,5,MD,1,2012-09-07,5,206,11,10,ПЕРЕВОД,24,2019-04-19,F010T011
209168,1,5,MA,1,2012-09-14,62,286,6,11,ПЕРЕВОД,165,2019-04-15,F011T006
209168,1,5,MA,1,2012-09-14,62,286,3,6,ПЕРЕВОД,168,2019-04-18,F006T003
209365,1,5,MA,1,2012-09-27,61,91,2,21,ПЕРЕВОД,10,2019-03-08,F021T002
209365,1,5,MA,1,2012-09-27,61,91,11,10,ПЕРЕВОД,38,2019-04-05,F010T011
209365,1,5,MA,1,2012-09-27,61,91,3,11,ПЕРЕВОД,55,2019-04-22,F011T003
211009,1,4,MA,3,2012-11-02,62,286,18,17,ПЕРЕВОД,526,2019-03-06,F017T018
211009,1,5,MA,1,2012-11-02,69,289,21,44,ПЕРЕВОД,1,2019-04-11,F044T021
211009,1,5,MA,1,2012-11-02,69,289,2,21,ПЕРЕВОД,6,2019-04-16,F021T002
211092,1,4,FA,3,2012-11-17,65,271,7,4,ПЕРЕВОД,334,2019-03-13,F004T007
211092,1,4,FA,3,2012-11-17,65,271,18,17,ПЕРЕВОД,367,2019-04-15,F017T018
211099,1,4,FA,1,2012-11-18,66,88,3,10,ПЕРЕВОД,81,2019-03-13,F010T003
211124,1,4,MA,3,2012-11-23,63,284,18,17,ПЕРЕВОД,460,2019-03-25,F017T018
212022,1,4,FA,1,2012-12-06,66,0,5,10,ПЕРЕВОД,257,2019-04-18,F010T005
212099,1,5,MA,1,2012-12-30,64,190,21,44,ПЕРЕВОД,1,2019-03-30,F044T021
212099,1,5,MA,1,2012-12-30,64,190,2,21,ПЕРЕВОД,12,2019-04-10,F021T002
212099,1,5,MA,1,2012-12-30,64,190,44,2,ПЕРЕВОД,19,2019-04-17,F002T044
212099,1,5,MA,1,2012-12-30,64,190,2,21,ПЕРЕВОД,21,2019-04-19,F021T002
212099,1,5,MA,1,2012-12-30,64,190,21,44,ПЕРЕВОД,21,2019-04-19,F044T021
301010,1,4,FA,1,2013-01-07,50,276,2,21,ПЕРЕВОД,7,2019-03-08,F021T002
301010,1,4,FA,1,2013-01-07,50,276,10,11,ПЕРЕВОД,42,2019-04-12,F011T010
302090,1,5,MA,1,2013-02-18,64,0,21,44,ПЕРЕВОД,1,2019-03-16,F044T021
302090,1,5,MA,1,2013-02-18,64,0,44,21,ПЕРЕВОД,4,2019-03-19,F021T044
302090,1,5,MA,1,2013-02-18,64,0,42,44,ПЕРЕВОД,4,2019-03-19,F044T042
304028,1,4,MA,1,2013-04-15,59,272,3,10,ПЕРЕВОД,88,2019-03-06,F010T003
